Section,R1_mean,R2_mean,RL_mean
abstract,33.85315809385458,17.187255073130775,35.9926516562596
introduction,19.403672921486525,6.8331240897778365,21.690301098475583
conclusion,31.04825701233972,8.864633050922844,28.332777205725215
methods,19.408983363831656,2.798890578182654,16.92691912918734
results,16.446485810482034,2.8351569454824586,17.137692772955848
discussion,12.024284183170943,4.201791340511156,16.73446798636338
patients and methods,18.438921220796967,2.5934045268243002,17.115261632863575
statistical analysis,15.448036846480532,1.4652853526183591,14.322098762673452
financial support,12.817050361978001,0.5057901586803021,11.926848489394564
conflict of interest,11.27391678710809,0.38906061080022836,11.851156449500863
authors contributions,12.14593589899309,0.5533609522642517,10.734058631861169
materials and methods,16.591536537555537,1.8762595953543826,14.949624581051214
